时间,价格,数量
1047,291,120121
1048,291,125364
1049,290,115226
1050,288,125450
1051,286,135587
1052,285,120159
1053,285,145988
1054,284,105752
1055,285,130086
1056,285,136475
1057,283,124997
1058,282,118250
1059,282,126333
1060,281,129800
1061,282,124908
1062,282,125305
1063,284,124301
1064,283,121827
1065,284,120349
1066,284,120474
1067,285,126230
1068,287,116483
1069,287,107470
1070,289,118395
1071,289,116152
1072,290,118931
1073,292,116441
1074,292,117474
1075,289,133616
1076,289,123528
1077,287,132639
1078,287,121265
1079,289,112099
1080,290,117450
1081,289,113077
1082,290,129385
1083,290,128087
1084,292,133036
1085,288,132078
1086,286,134974
1087,288,131522
1088,289,132497
1089,289,119356
1090,288,126390
1091,289,116308
1092,286,141052
1093,287,130481
1094,290,115150
1095,290,131410
1096,289,106351
1097,286,140681
1098,287,125115
1099,289,134465
1100,289,119014
1101,290,120819
1102,289,119466
1103,289,128516
1104,286,127919
1105,285,124829
1106,285,121255
1107,283,107871
1108,283,119347
1109,283,116905
1110,284,110496
1111,283,133498
1112,285,129973
1113,283,113309
1114,281,127841
1115,278,123830
1116,277,124383
1117,279,110888
1118,280,122255
1119,283,130569
1120,283,135948
1121,285,126428
1122,287,118791
1123,286,135513
1124,287,117412
1125,286,111155
1126,288,117089
1127,289,125550
1128,289,120284
1129,288,123113
1130,288,134911
1131,286,134735
1132,285,127411
1133,283,129630
1134,286,124829
1135,286,132557
1136,287,127811
1137,288,122178
1138,288,114848
1139,286,150962
1140,286,114417
1141,285,123709
1142,285,123721
1143,283,119469
1144,284,110156
1145,283,115051
1146,285,109553
1147,284,127648
1148,285,133443
1149,285,122423
1150,285,128724
1151,284,123310
1152,285,122619
1153,282,127663
1154,279,113972
1155,280,123576
1156,282,111771
1157,280,136844
1158,281,118080
1159,281,117000
1160,283,115465
1161,281,146822
1162,280,131642
1163,282,123179
1164,285,103255
1165,285,136405
1166,286,132133
1167,285,132406
1168,283,139455
1169,283,128548
1170,282,122943
1171,284,130712
1172,282,142293
1173,283,129420
1174,283,127616
1175,282,126685
1176,283,132203
1177,283,124344
1178,283,122715
1179,282,130626
1180,281,124781
1181,282,115386
1182,283,117208
1183,282,124665
1184,282,131303
1185,283,118802
1186,283,134696
1187,283,125445
1188,281,128277
1189,284,124451
1190,283,123544
1191,284,138949
1192,284,123571
1193,284,124406
1194,284,131645
1195,284,122893
1196,283,120576
1197,284,123347
1198,284,134535
1199,283,120634
1200,282,127941
1201,279,130679
1202,278,133369
1203,279,127151
1204,278,125110
1205,279,121739
1206,278,130834
1207,278,122172
1208,277,127655
1209,276,119776
1210,278,124372
1211,278,125677
1212,277,124288
1213,277,132609
1214,277,129601
1215,276,118290
1216,280,127304
1217,281,112690
1218,281,125983
1219,284,130578
1220,283,128446
1221,282,113821
1222,283,136096
1223,288,128533
1224,287,152508
1225,285,118065
1226,285,128807
1227,282,123840
1228,279,137297
1229,279,127250
1230,280,128202
1231,277,132339
1232,281,128376
1233,279,129079
1234,279,115643
1235,279,105761
1236,282,116345
1237,283,113535
1238,284,115270
1239,283,125179
1240,282,130546
1241,284,118315
1242,283,127053
1243,283,132600
1244,283,109036
1245,281,129886
1246,282,128508
1247,281,119493
1248,282,117076
1249,281,111389
1250,281,132303
1251,280,122766
1252,283,111419
1253,283,125103
1254,283,139815
1255,281,112911
1256,281,131669
1257,281,126205
1258,281,128279
1259,282,126574
1260,283,124996
1261,285,121948
1262,286,133565
1263,285,113344
1264,283,142761
1265,284,118863
1266,284,118100
1267,283,127521
1268,282,125092
1269,282,134154
1270,281,120025
1271,282,130643
1272,280,125720
1273,281,123493
1274,282,132117
1275,282,114808
1276,280,116244
1277,283,131401
1278,280,142156
1279,282,135853
1280,283,125366
1281,286,113792
1282,285,127174
1283,284,121318
1284,286,113181
1285,285,131448
1286,285,120940
1287,288,142111
1288,288,128949
1289,287,123764
1290,287,113055
1291,286,130629
1292,287,132751
1293,287,115617
1294,287,117210
1295,288,135075
1296,286,119597
1297,287,125942
1298,288,123899
1299,289,122879
1300,292,127797
1301,292,128897
1302,289,127088
1303,289,137173
1304,288,128850
1305,289,122029
1306,287,152542
1307,287,124574
1308,287,121791
1309,287,121200
1310,288,128255
1311,290,120836
1312,290,132987
1313,288,106142
1314,289,118412
1315,289,129515
1316,289,120249
1317,289,137720
1318,287,129689
1319,288,107395
1320,288,119151
1321,287,132558
1322,290,97588
1323,290,138523
1324,289,122899
1325,289,128416
1326,289,130197
1327,290,126256
1328,288,120481
1329,290,124717
1330,289,118079
1331,289,134366
1332,287,116878
1333,289,124370
1334,288,134852
1335,288,111289
1336,289,131342
1337,289,133095
1338,289,129121
1339,287,140752
1340,290,124297
1341,291,124132
1342,291,103730
1343,293,130831
1344,293,114673
1345,290,118574
1346,286,122080
1347,287,123665
1348,288,140602
1349,288,125303
1350,286,130658
1351,286,125453
1352,284,129141
1353,285,119107
1354,284,121837
1355,284,115016
1356,284,110372
1357,285,121991
1358,285,108266
1359,284,125167
1360,284,135957
1361,284,117550
1362,283,133297
1363,285,127884
1364,285,120122
1365,284,122124
1366,283,123732
1367,283,117882
1368,282,132328
1369,282,118609
1370,282,141760
1371,282,121792
1372,283,128763
1373,283,111701
1374,283,130556
1375,286,125842
1376,286,115304
1377,287,125556
1378,289,111852
1379,287,122329
1380,287,136041
1381,287,119943
1382,288,124996
1383,286,143015
1384,287,108666
1385,292,115287
1386,292,141350
1387,290,117731
1388,290,121228
1389,291,133905
1390,290,124511
1391,291,120244
1392,289,124371
1393,289,100249
1394,290,121260
1395,292,127573
1396,292,112276
1397,292,113417
1398,290,120679
1399,289,122919
1400,290,121941
1401,292,134700
1402,293,116707
1403,294,126013
1404,293,120960
1405,292,136091
1406,293,127666
1407,290,104672
1408,289,123447
1409,288,111436
1410,288,111286
1411,289,117812
1412,288,119772
1413,287,115739
1414,287,119382
1415,289,121443
1416,288,119159
1417,287,122458
1418,286,115703
1419,284,117583
1420,281,132358
1421,282,131114
1422,282,114849
1423,283,129416
1424,285,120266
1425,284,127884
1426,282,131599
1427,281,127367
1428,281,124518
1429,282,125785
1430,283,131586
1431,281,123996
1432,282,123594
1433,283,129581
1434,283,133393
1435,282,132261
1436,283,126008
1437,283,132655
1438,287,129579
1439,287,125439
1440,287,126290
1441,287,119115
1442,288,116836
1443,288,132465
1444,285,114654
1445,282,136239
1446,283,127604
1447,284,136442
1448,287,130937
1449,289,116826
1450,292,122149
1451,292,120102
1452,292,124627
1453,293,128977
1454,295,124288
1455,294,124265
1456,295,135305
1457,296,112922
1458,294,125048
1459,296,117434
1460,295,124883
1461,293,129940
1462,293,128913
1463,291,123054
1464,291,123341
1465,292,118253
1466,292,115037
1467,290,122316
1468,289,120276
1469,287,138118
1470,288,110263
1471,287,127356
1472,286,139988
1473,285,124217
1474,285,117396
1475,286,120305
1476,287,133256
1477,288,113583
1478,288,118087
1479,285,119162
1480,286,119725
1481,283,138432
1482,283,128127
1483,281,126996
1484,281,126473
1485,282,123061
1486,282,152604
1487,282,113497
1488,280,126852
1489,280,136553
1490,283,129293
1491,283,125650
1492,284,138850
1493,286,116697
1494,284,128154
1495,285,103583
1496,283,141297
1497,285,121794
1498,284,124529
1499,285,119060
1500,284,115230
1501,284,119115
1502,283,135278
1503,285,128260
1504,284,117020
1505,284,140246
1506,285,127692
1507,288,128091
1508,290,136949
1509,293,109077
1510,295,113357
1511,293,135708
1512,295,112918
1513,295,115391
1514,298,119886
1515,296,120705
1516,295,136693
1517,296,124902
1518,295,109509
1519,294,119398
1520,294,122533
1521,297,117972
1522,298,132163
1523,297,124212
1524,296,121833
1525,297,131733
1526,297,116693
1527,297,134055
1528,297,111340
1529,294,128485
1530,291,132522
1531,293,108809
1532,293,130583
1533,294,125323
1534,293,121433
1535,293,118445
1536,292,124561
1537,293,106991
1538,294,120914
1539,296,119103
1540,295,131071
1541,296,130655
1542,296,127365
1543,298,105584
1544,297,111242
1545,298,110807
1546,297,113596
1547,295,112485
1548,294,119953
1549,292,119439
1550,292,120838
1551,292,120682
1552,292,100900
1553,291,106001
1554,290,127561
1555,288,117044
1556,288,127730
1557,289,130918
1558,290,119290
1559,289,124386
1560,290,133503
1561,289,131799
1562,291,111115
1563,290,133443
1564,288,126810
1565,288,122106
